"location","source","target"
"LO1.2.07","Make a basic assessment of the reliability and credibility of digital information sources and content.",""
"LO1.2.08","Acknowledge the benefits of questioning the credibility and reliability of information and content and their sources in digital environments.",""
"LO1.2.09","Recognise potential consequences of misinformation and disinformation in digital environments for oneself and others.",""
"LO1.2.10","Describe methods to identify the source of information found online.",""
"LO1.2.11","Define the purposes of fact-checking services.",""
"LO1.2.12","Recognise the concepts and purposes of pre-bunking and de-bunking in digital contexts.",""
"LO1.2.13","Recognise that the data used to train AI systems and how they are trained affects the reliability of the information they provide.",""
"LO1.2.14","Recognise that some digital technologies, such as AI systems, may function like a 'black box', making it difficult to explain why or how an output has been produced.",""
"LO1.2.15","Identify examples of human (cognitive, affective) bias and AI system (data, training) bias in relation to the generation and interpretation of information.",""
"LO1.2.16","Recognise that AI systems may produce output which is inaccurate, even if it may seem plausible.",""
"LO1.2.17","Recognise that the humans using an AI system are responsible for checking the quality and validity of information and content generated.",""
"LO1.2.18","Recognise the presence of user-directing strategies in digital environments such as clickbait, nudging and gamification.",""
"LO1.2.19","Apply pre-bunking and de-bunking strategies to discard or discredit unreliable sources and content in digital environments.",""
"LO1.2.20","Respond effectively to user-directing strategies in digital environments such as clickbait, nudging and gamification.",""
"LO1.2.21","Critically assess the reliability of sources, information and content in digital environments, considering the role of AI systems, personalisation effects, and commercial or other interests.",""
"LO1.2.22","Continually scrutinise how AI systems, biases, and various interests shape generation, presentation and interpretation of information and content in digital environments.",""
"LO1.2.23","Describe personal, social and political consequences of misinformation, disinformation, sources of bias, social media influencing and filter bubbles.",""
"LO1.2.24","Describe features of trustworthy digital technologies, such as AI systems.",""
"LO1.2.25","Describe methods that can be used to identify deep-fakes.",""
"LO1.2.26","Thoroughly assess the reliability and accuracy of a diversity of sources, information and content in digital environments, considering a range of potential influencing factors.",""
"LO1.2.27","Support others to develop their capabilities to assess the reliability of sources, information and content in digital environments.",""
"LO1.2.28","Promote and support the development of resilience to misinformation and disinformation in digital environments among individuals and/or groups.",""
"LO1.2.29","Systematically assess and evaluate sources, information and content in digital environments to support complex decision-making.",""
"LO1.2.30","Help others to develop capabilities to critically evaluate information and content in digital environments.",""
"LO1.2.31","Lead or contribute to initiatives that support accurate interpretation of data, information, and content in digital environments.",""
"LO1.3.01","Acknowledge the benefits of managing and organising information in digital environments.",""
"LO1.3.02","Recognise functions of data removal, restoration and backup.",""
"LO1.3.03","Identify main properties of digital files and folders.",""
"LO1.3.04","Recognise, in general terms, the concept of data.",""
"LO1.3.05","Download, save, retrieve, move and delete digital files.",""
"LO1.3.06","Organise and format simple data in a structured digital environment, such as in spreadsheets.",""
"LO1.3.07","Update one's contacts, such as on phone, email or social media.",""
"LO1.3.08","Acknowledge the importance of careful and ethical management of data and information in digital environments.",""
"LO1.3.09","Recognise that digital files and folders can be (re-)named and organised in a manner desired by the user.",""
"LO1.3.10","Recognise that digital files can be saved to different locations (devices, external storage and cloud services) and transferred from one location to another.",""
"LO1.3.11","Identify common data collection tools and their main functions.",""
"LO1.3.12","Define responsibilities associated with using data collection tools.",""
"LO1.3.13","Identify common types of data and their formats.",""
"LO1.3.14","Apply naming conventions to digital files and hierarchies to digital folders.",""
"LO1.3.15","Manage, save and delete files on digital devices, external storage, and cloud services.",""
"LO1.3.16","Manage information in one's digital accounts, such as email.",""
"LO1.3.17","Use data collection tools for simple processing of data and information such as quizzes, polls or surveys.",""
"LO1.3.18","Organise and format data in a structured digital environment, such as in spreadsheets.",""
"LO1.3.19","Apply basic formulas to data in a structured digital environment, such as in spreadsheets.",""
"LO1.3.20","Prioritise ethical and transparent management and processing of data and information in digital environments.",""
"LO1.3.21","Take account of potential sources of error or inaccuracy in management and processing of data and information in digital environments.",""
"LO1.3.22","Identify possible sources of error or inaccuracy in information or data in digital environments.",""
"LO1.3.23","Describe the main steps in managing, processing and analysing information and data in digital environments.",""
"LO1.3.24","Describe features of open data (examples, applications, benefits and limitations).",""
"LO1.3.25","Describe features of big data (examples, applications, benefits and limitations).",""
"LO1.3.26","Apply a variety of functions to transfer and manage data and information in digital environments.",""
"LO1.3.27","Use a range of digital tools and methods to collect and process a variety of data and information.",""
"LO1.3.28","Apply appropriate analysis of information and data in digital environments to contribute to complex decision-making.",""
"LO1.3.29","Assist others with data and information management, processing and analysis in digital environments.",""
"LO1.3.30","Acknowledge the importance of structuring and documenting data and information in digital environments for the benefit of others.",""
"LO1.3.31","Stay informed about digital technological developments in data and information management and analysis.",""
"LO1.3.32","Develop and implement strategies for complex or specialised data and information management, processing and analysis in digital environments.",""
"LO1.3.33","Use a variety of tools and methods such as big data techniques or simulations to process, manage or analyse complex data or large volumes of information.",""
"LO1.3.34","Lead or contribute to initiatives that support others in advanced information and data management, processing and analysis in digital environments.",""
"LO1.3.35","Contribute to improvements in or new solutions for complex data management, processing or analysis in digital environments.",""
"LO2.1.01","Acknowledge the importance of taking others' preferences into account in digital communication.",""
"LO2.1.02","Distinguish between synchronous and asynchronous forms of digital communication.",""
"LO2.1.03","Identify differences between digital and non-digital interactions.",""
"LO2.1.04","Distinguish between physical and virtual realities.",""
"LO2.1.05","Identify basic features and functions of digital communication tools.",""
"LO2.1.06","Identify basic features of virtual assistants (chatbots) and AI systems used in communication contexts.",""
"LO2.1.07","Recognise key differences between human-to-machine and human-to-human interactions.",""
"LO2.1.08","Recognise in general terms what a robot is, including their non-human nature.",""
"LO2.1.09","Recognise that humans interact with robots in order to carry out tasks.",""
"LO2.1.10","Use basic features of digital communication tools to interact with individuals and groups.",""
"LO2.1.11","Acknowledge the importance of tailoring one's digital communication to specific contexts.",""
"LO2.1.12","Recognise that there is a reality-virtuality continuum in digital environments.",""
"LO2.1.13","Describe main features and functions of a range of digital communication tools.",""
"LO2.1.14","Describe benefits and limitations of virtual assistants (chatbots) and AI systems in digital communication contexts.",""
"LO2.1.15","Identify contexts in which asynchronous or synchronous digital communication, or non-digital communication, may work best.",""
"LO2.1.16","Identify key features of robots (such as sensors, software, motion controls and human interface).",""
"LO2.1.17","Define examples of how humans can interact with robots.",""
"LO2.1.18","Recognise that robots can operate with varying degrees of autonomy.",""
"LO2.1.19","Select suitable communication means and tools, considering digital and non-digital options, for a given context or purpose.",""
"LO2.1.20","Develop and refine questions, commands or statements (prompts) for virtual assistants (chatbots) and AI systems to support non-complex digital interactions.",""
"LO2.1.21","Use multiple features of a variety of digital communication tools to interact with and manage individuals, groups and channels.",""
"LO2.1.22","Continually adapt communication in digital environments in response to a variety of contexts.",""
"LO2.1.23","Combine digital communication tools and methods for complex communication tasks.",""
"LO2.1.24","Systematically develop and progressively refine questions, commands or statements (prompts) for AI systems to handle complex digital interactions.",""
"LO2.1.25","Assess benefits and disadvantages of robotic applications in a specific context.",""
"LO2.1.26","Assist others to assess and select suitable digital communication tools for a given purpose.",""
"LO2.1.27","Organise and/or moderate complex digital events.",""
"LO2.1.28","Stay informed about developments in digital communication and interaction tools and methods.",""
"LO2.1.29","Assess and combine digital communication and interaction tools for highly complex or novel tasks.",""
"LO2.1.30","Provide guidance, support or leadership in the advanced use of digital communication and interaction tools.",""
"LO2.1.31","Lead or contribute to improvements in or new solutions for digital communication or human-machine interaction.",""
"LO2.2.01","Acknowledge the importance of ethical and responsible sharing of information and content in digital environments.",""
"LO2.2.02","Recognise benefits and risks of sharing information and content in digital environment.",""
"LO2.2.03","Identify functions and uses of social media, and examples of common social media platforms.",""
"LO2.2.04","Recognise that individuals can choose how and what they would like to share through digital technologies.",""
"LO2.2.05","Recognise that information and content - not all of which is true or accurate - can be shared in a variety of ways by AI systems as well as humans.",""
"LO2.2.06","Identify purpose and target audience of information and content to be shared in digital environments.",""
"LO2.2.07","Use simple processes to share information and content in digital environments appropriately and in accordance with goals.",""
"LO2.2.08","Acknowledge the importance of assessing the value and accuracy of information and content prior to sharing it in digital environments.",""
"LO2.2.09","Define responsibilities associated with sharing information and content in digital environments.",""
"LO2.2.10","Describe effective and ethical ways to share information and content in a variety of digital environments.",""
"LO2.2.11","Assess potential risks, benefits and ethical considerations of sharing information and content in a variety of digital environments.",""
"LO2.2.12","Effectively and ethically share information and content in a variety of digital environments.",""
"LO2.2.13","Report or flag misinformation and disinformation that has been shared in digital environments.",""
"LO2.2.14","Acknowledge the value of sharing digital information and content to assist others, such as through Open Educational Resources (OER).",""
"LO2.2.15","Effectively and ethically share information and content in digital environments to support personal, learning or professional goals of oneself and others.",""
"LO2.2.16","Advise others on effective and ethical ways to share information and content in digital environments.",""
"LO2.2.17","Explore new and alternative means for complex sharing information and content in digital environments.",""
"LO2.2.18","Facilitate complex sharing of information and content across a variety of digital technologies.",""
"LO2.2.19","Contribute to complex or specialised initiatives for sharing information and content in digital environments.",""
"LO2.2.20","Lead or contribute to improvements in or new solutions for sharing complex information and content in digital environments.",""
"LO2.3.01","Acknowledge the potential benefits of digital technologies for one's own and others empowerment and participation.",""
"LO2.3.02","Recognise digital citizenship as the ability to participate actively and responsibly in communities through engagement with digital technologies.",""
"LO2.3.03","Identify examples of civic participation in digital environments.",""
"LO2.3.04","Recognise that digital technologies - including difficulties in accessing them - can exclude certain groups or individuals.",""
"LO2.3.05","Recognise that there are laws and regulations to protect the rights of users of digital platforms and services.",""
"LO2.3.06","Identify main purposes and functions of (personally relevant) digital platforms and services.",""
"LO2.3.07","Recognise that individuals can play an active role in reviewing or improving online products and services.",""
"LO2.3.08","Use digital tools to search for and find communities for civic participation on issues of interest.",""
"LO2.3.09","Use (personally relevant) digital platforms and services, seeking assistance as needed.",""
"LO2.3.10","Prioritise the exploration of ways that digital technologies can enhance one's civic and societal participation.",""
"LO2.3.11","Acknowledge the importance of identifying excluded or marginalised people and groups in digital environments.",""
"LO2.3.12","Participate in discussions on digital citizenship topics.",""
"LO2.3.13","Recognise that digital participation is the active involvement in society through the use of digital technologies.",""
"LO2.3.14","Recognise that civic participation occurs along a continuum.",""
"LO2.3.15","Recognise key freedoms, rights and responsibilities of individuals under relevant digital laws and regulations.",""
"LO2.3.16","Define how to exercise key rights in digital environments.",""
"LO2.3.17","Describe the concept of the platform economy, including opportunities, risks, social and ethical implications.",""
"LO2.3.18","Describe the concept and functions of civic monitoring.",""
"LO2.3.19","Describe the concept and functions of e-Government.",""
"LO2.3.20","Describe how digital technologies such as social media platforms can influence some aspects of basic democracy (for example, distortion of the electoral process).",""
"LO2.3.21","Interact autonomously and effectively with digital platforms and services.",""
"LO2.3.22","Assess opportunities, risks, social and ethical implications of the platform economy.",""
"LO2.3.23","Prioritise the continual exploration of ways in which digital technologies can support empowerment or civic participation.",""
"LO2.3.24","Participate in discussions on digital technologies' ethical, political and social implications.",""
"LO2.3.25","Distinguish between high-risk and prohibited AI systems (according to legislation).",""
"LO2.3.26","Describe potential societal, political or economic impacts of prohibited and high-risk AI systems.",""
"LO2.3.27","Assess the potential of digital technologies for inclusion, exclusion, and civic intervention in a given context.",""
"LO2.3.28","Assess a range of ways in which digital technologies such as social media platforms can influence democratic processes.",""
"LO2.3.29","Assist others to identify opportunities and participate in digital environments for (self or community) empowerment and participation.",""
"LO2.3.30","Support others to inform themselves about and exercise their rights under digital legislation.",""
"LO2.3.31","Stay informed about individuals' freedoms, rights and responsibilities with evolving digital technologies and legislative developments.",""
"LO2.3.32","Evaluate multiple impacts of digital technologies on society, political processes or the economy from a range of perspectives.",""
"LO2.3.33","Assist others to comprehend the main provisions of digital legislation, given a specific context.",""
"LO2.3.34","Lead or design digital citizenship initiatives, for example to promote participation, inclusion or empowerment.",""
"LO2.4.01","Acknowledge the importance of effective communication skills for successful collaboration in digital environments.",""
"LO2.4.02","Recognise main benefits and limitations of digital collaboration tools.",""
"LO2.4.03","Recognise the presence of AI systems in digital collaboration tools.",""
"LO2.4.04","Participate in collaborative groups via digital collaboration tools.",""
"LO2.4.05","Take account of different perspectives to help achieve a common goal in digital environments.",""
"LO2.4.06","Identify main features and functions of a variety of digital collaboration tools.",""
"LO2.4.07","Recognise the functions, benefits and limitations of AI system functionalities in some digital collaboration tools.",""
"LO2.4.08","Identify examples of ethical, responsible and effective human-AI collaboration.",""
"LO2.4.09","Select digital collaboration tools that meet collaboration goals.",""
"LO2.4.10","Create and manage simple collaborative tasks using digital collaboration tools.",""
"LO2.4.11","Contribute effectively to simple collaborative tasks in digital environments.",""
"LO2.4.12","Prioritise a good fit between how digital collaboration tools are used and the preferences of individuals involved in collaboration.",""
"LO2.4.13","Ensure appropriate and ethical use of digital technologies including AI systems for collaborative tasks.",""
"LO2.4.14","Use and combine a variety of digital collaboration tools that meet the needs of projects, tasks and groups.",""
"LO2.4.15","Help others to develop their capabilities to collaborate in digital environments.",""
"LO2.4.16","Assess ethical and practical aspects of human-AI collaboration techniques for a given purpose.",""
"LO2.4.17","Lead collaboration in digital environments.",""
"LO2.4.18","Stay informed about developments in collaborative practices in digital environments.",""
"LO2.4.19","Promote and support proportionate, ethical and effective use of digital technologies, including AI systems, in collaborations.",""
"LO2.4.20","Design complex or specialised strategies for collaboration in digital environments.",""
"LO2.4.21","Assist others to develop capabilities to lead collaboration in digital environments.",""
"LO2.4.22","Lead or contribute to improvements in or new solutions for human-AI collaboration.",""
"LO2.5.01","Acknowledge the importance of giving space to the opinions of others in digital environments.",""
"LO2.5.02","Identify differences in verbal and non-verbal behaviours in digital and non-digital environments.",""
"LO2.5.03","Recognise that there are cultural and contextual differences in verbal and non-verbal communication in digital environments.",""
"LO2.5.04","Recognise that some behaviour in digital environments may not be acceptable to others, and/or may have legal consequences.",""
"LO2.5.05","Use appropriate tone and visual expression such as emoji in formal and non-formal digital environments.",""
"LO2.5.06","Prioritise digital behaviours that support inclusion and a positive digital reputation of oneself and others.",""
"LO2.5.07","Identify key rights and responsibilities of children and adults in relation to digital behaviour.",""
"LO2.5.08","Describe the relationship between digital behaviour and digital reputation.",""
"LO2.5.09","Identify key rights and responsibilities of children and adults in relation to digital behaviour.",""
"LO2.5.10","Use respectful and inclusive tone and visual expression such as emoji in formal and non-formal digital environments.",""
"LO2.5.11","Promote and support inclusive and respectful behaviour in digital environments.",""
"LO2.5.12","Distinguish between ethical, legal and illegal behaviours in digital environments, recognising that these distinctions may be complex.",""
"LO2.5.13","Identify types of abuse that can occur in digital environments, including affected groups and potential impacts.",""
"LO2.5.14","Describe ways in which abuse in digital environments can be reported and tackled.",""
"LO2.5.15","Respond with effective and respective communication and behaviour to difficult or complex situations in digital environments.",""
"LO2.5.16","Assess ethical and legal/illegal aspects of behaviour in digital environments in a specific context.",""
"LO2.5.17","Analyse patterns and potential impacts of abuse of specific groups in digital environments.",""
"LO2.5.18","Support others to develop their capacities for inclusive and respectful behaviour in digital environments.",""
"LO2.5.19","Stay informed about developments in policies and legislation relating to behaviour in digital environments.",""
"LO2.5.20","Assist others to understand key rights and responsibilities under policies and legislation relating to digital behaviour in a given context.",""
"LO2.5.21","Lead or contribute to digital behaviour policies or initiatives.",""
"LO2.6.01","Acknowledge the benefits of implementing measures to help manage one's digital identity.",""
"LO2.6.02","Recognise features of physical and digital identities.",""
"LO2.6.03","Identify aspects of physical identity that can be linked to digital identity.",""
"LO2.6.04","Recognise digital identity as both a method to authenticate (verify) an individual and the data generated by an individual's online activities.",""
"LO2.6.05","Identify common forms and uses of digital identity.",""
"LO2.6.06","Recognise that information on the internet can persist over time.",""
"LO2.6.07","Recognise the concept and components of a digital footprint.",""
"LO2.6.08","Recognise that digital identity protection laws protect individuals' data and privacy.",""
"LO2.6.09","Identify simple measures such as limiting tracking and deleting browsing history to manage digital identity.",""
"LO2.6.10","Implement simple measures such as limiting tracking and deleting browsing history to manage digital identity.",""
"LO2.6.11","Acknowledge the importance of one's own role and rights in the management of digital identity.",""
"LO2.6.12","Describe the relationships between digital footprint, digital reputation and digital identity.",""
"LO2.6.13","Identify examples of actively and passively generated information in relation to digital identity.",""
"LO2.6.14","Describe ways in which the scope of one's digital identity can be analysed.",""
"LO2.6.15","Identify features and functions used to manage digital identity, such as settings on devices and apps, online accounts, activity tracking and social media platforms.",""
"LO2.6.16","Use information on the scope of one's own digital identity to guide actions on digital identity management.",""
"LO2.6.17","Adjust settings on devices and apps, online accounts and activity tracking to help manage one’s digital identity.",""
"LO2.6.18","Curate and manage one or more digital identities using a variety of features and functionalities on digital platform(s) or service(s).",""
"LO2.6.19","Prioritise the assessment of one's digital identity on an ongoing basis.",""
"LO2.6.20","Recognise the relationship between digital technological developments and digital identity management.",""
"LO2.6.21","Describe ways to exercise rights on issues relating to digital identity.",""
"LO2.6.22","Describe ways in which AI systems are used in digital identity management.",""
"LO2.6.23","Implement a variety of processes to manage digital identity across a range of digital environments.",""
"LO2.6.24","Assess benefits, social and ethical implications of the use of AI systems in digital identity management.",""
"LO2.6.25","Curate and manage digital identities for personal, professional and/or organisational purposes across a variety of platforms and services.",""
"LO2.6.26","Assist others with basic digital identity management.",""
"LO2.6.27","Stay informed about developments in digital technologies in relation digital identity management.",""
"LO2.6.28","Support others to deepen their capabilities in the management and curation of digital identities.",""
"LO2.6.29","Advise others on complex aspects of digital identity management and rights.",""
"LO3.1.01","Acknowledge the benefits of exploring a variety of digital content creation tools to support content creation goals.",""
"LO3.1.02","Acknowledge the importance of digital content that is accessible and inclusive.",""
"LO3.1.03","Identify common types of digital content and their associated file formats.",""
"LO3.1.04","Identify common operational functions across digital content creation tools.",""
"LO3.1.05","Distinguish between accessible digital content and inclusive digital content.",""
"LO3.1.06","Recognise that while AI systems can generate and integrate digital content, humans are essential to ensure ethical, responsible, and context-appropriate outputs.",""
"LO3.1.07","Recognise that generative AI is a particular type of AI and is one of various digital technologies that can be used to support content creation.",""
"LO3.1.08","Use basic features of digital content creation tools to create and edit digital content (text, image, video and/or audio).",""
"LO3.1.09","Purposefully explore features and functions of digital content creation tools to deepen content creation capabilities.",""
"LO3.1.10","Describe benefits, limitations and ethical considerations in the use of digital technologies such as AI systems for content creation.",""
"LO3.1.11","Define strategies such as templates or appropriate sequencing of steps that enable efficient digital content creation.",""
"LO3.1.12","Use a variety of digital content creation tools to create and edit digital content (text, image, video and/or audio).",""
"LO3.1.13","Assess inclusivity and/or accessibility needs of the audience for which digital content is being created.",""
"LO3.1.14","Edit digital content to enhance accessibility and meet audience needs.",""
"LO3.1.15","Apply strategies such as templates or appropriate sequencing of steps that enable efficient digital content creation.",""
"LO3.1.16","Interact with AI systems purposefully, selectively and ethically to support digital content creation.",""
"LO3.1.17","Acknowledge the importance of assessing capabilities, constraints and ethical aspects of digital content creation tools to ensure appropriate selection and use.",""
"LO3.1.18","Select and combine digital content creation tools and methods to meet complex content creation task and audience requirements.",""
"LO3.1.19","Create and edit a variety of complex or specialised digital content, tailored appropriately to goals and audience.",""
"LO3.1.20","Support others to develop their capabilities in digital content creation using ethical and responsible approaches.",""
"LO3.1.21","Promote and support accessibility and inclusivity in digital content creation initiatives.",""
"LO3.1.22","Promote and support the selective and ethical use of AI systems in content creation.",""
"LO3.1.23","Help others to develop advanced digital content creation capabilities.",""
"LO3.1.24","Lead or contribute to complex or specialised digital content creation initiatives.",""
"LO3.1.25","Lead or contribute to improvements in or new solutions for complex or specialised digital content.",""
"LO3.2.01","Acknowledge the importance of ethical and transparent practices when re-using or elaborating existing digital content.",""
"LO3.2.02","Acknowledge the benefits of exploring digital content integration and elaboration tools and techniques.",""
"LO3.2.03","Recognise the concept of acknowledgement in re-using existing digital content.",""
"LO3.2.04","Recognise the concept of transparent use of AI systems (particularly generative AI) in digital content integration and re-elaboration.",""
"LO3.2.05","Distinguish between editable and uneditable digital content.",""
"LO3.2.06","Identify main functions of content creation tools for editing and integrating digital content (text, image, audio, video).",""
"LO3.2.07","Make changes to existing digital content using basic editing, formatting and integration functions.",""
"LO3.2.08","Purposefully explore a variety of ways to integrate and re-elaborate digital content to deepen digital content integration and re-elaboration capabilities.",""
"LO3.2.09","Identify structure, format and audience requirements of a digital content integration or re-elaboration task.",""
"LO3.2.10","Describe ways in which to acknowledge digital content that is being re-used.",""
"LO3.2.11","Describe ethical and transparent practices in the use of AI systems (particularly generative AI) in digital content integration and elaboration.",""
"LO3.2.12","Adjust or integrate digital content to meet format, structure and audience requirements.",""
"LO3.2.13","Modify or transform digital textual, numeric or visual representations to effectively and accurately convey the meaning of data and information.",""
"LO3.2.14","Use digital technologies in a selective, ethical and transparent way to make enhancements or integrations to existing digital content.",""
"LO3.2.15","Prioritise transparent and ethical practices in digital content integration and re-elaboration tasks.",""
"LO3.2.16","Describe a range of methods for complex digital content integration and re-elaboration.",""
"LO3.2.17","Describe appropriate and inappropriate uses of AI systems to enhance digital content integration or re-elaboration of complex tasks.",""
"LO3.2.18","Adjust or integrate a variety of digital content to meet complex format, structure, and audience requirements.",""
"LO3.2.19","Apply digital technologies in a selective, ethical and transparent way to apply complex integration or re-elaboration to digital content.",""
"LO3.2.20","Support others to develop their capabilities in digital content integration and re-elaboration.",""
"LO3.2.21","Promote and support ethical and transparent practices in digital content integration and re-elaboration.",""
"LO3.2.22","Stay informed about digital technological developments in digital content integration and re-elaboration, including their technical and ethical implications.",""
"LO3.2.23","Evaluate and apply advanced design and data visualisation techniques to complex or specialised digital content integration and re-elaboration.",""
"LO3.2.24","Assist others with complex digital content integration and re-elaboration tasks.",""
"LO3.2.25","Lead or contribute to complex digital content integration or re-elaboration initiatives.",""
"LO3.2.26","Lead or contribute to improvements in or new solutions for digital complex content integration or re-elaboration.",""
"LO3.3.01","Recognise that the internet is not a fully free space: individuals' data can be monetised, and individuals may need permission to use content found.",""
"LO3.3.02","Recognise, in general terms, the concepts of copyright and licence in digital contexts.",""
"LO3.3.03","Recognise that an individual's original digital content is automatically copyrighted.",""
"LO3.3.04","Recognise that different kinds of copyright and licences apply to digital content, including AI-generated content, and that these determine how content can be used and shared.",""
"LO3.3.05","Recognise that AI-generated content should be labelled as such to help others understand its origin and possibilities for further use.",""
"LO3.3.06","Identify digital content that can be used free of charge.",""
"LO3.3.07","Use and share digital content in compliance with basic legal and ethical guidelines.",""
"LO3.3.08","Prioritise a cautious approach to digital content (check before using or sharing).",""
"LO3.3.09","Acknowledge the complex nature of copyright and licensing of digital content.",""
"LO3.3.10","Define, with examples from digital contexts, the concept of intellectual property.",""
"LO3.3.11","Distinguish, with examples from digital contexts, between copyright, trademark, design and patent.",""
"LO3.3.12","Identify common types and purposes of licences in digital contexts, including Creative Commons.",""
"LO3.3.13","Identify examples of piracy and plagiarism in digital contexts.",""
"LO3.3.14","Identify examples of where copyright applies and does not apply in digital contexts.",""
"LO3.3.15","Describe legal, ethical and commercial consequences of intellectual property violations in digital contexts, including piracy and plagiarism.",""
"LO3.3.16","Identify examples of legal and ethical challenges relating to copyright in the training of AI models.",""
"LO3.3.17","Apply legal and ethical guidelines appropriately when using and sharing digital content.",""
"LO3.3.18","Prioritise a consideration of ethical and legal aspects, such as transparency and copyright, when using and sharing digital content.",""
"LO3.3.19","Describe key features of current legislation in relation to digital copyright and licences.",""
"LO3.3.20","Describe examples of where copyright applies and does not apply in digital contexts.",""
"LO3.3.21","Identify differences in how ethical and copyright issues apply to training data for AI systems and AI-generated content (output).",""
"LO3.3.22","Assess and correctly apply legal and ethical guidelines for using and sharing of digital content in complex contexts, including different software licensing models and the renewal requirements of licences.",""
"LO3.3.23","Assist others to use and share digital content in compliance with legal and ethical guidelines.",""
"LO3.3.24","Stay informed about developments in copyright and licensing regulations in digital contexts.",""
"LO3.3.25","Promote and support awareness and understanding of legal and ethical copyright and licensing practices in digital contexts.",""
"LO3.3.26","Apply advanced knowledge of intellectual property rights, copyright and licensing concepts in digital contexts to inform decision-making.",""
"LO3.3.27","Lead or contribute to policies or guidelines on copyright and licensing in digital contexts.",""
"LO3.4.01","Acknowledge the essential role of humans in determining how computer programs and AI systems are used.",""
"LO3.4.02","Identify common uses of computer programs and applications.",""
"LO3.4.03","Recognise computational thinking as a human activity which involves the identification of steps that can be performed by a computer to solve a problem or task.",""
"LO3.4.04","Recognise what AI is in general terms.",""
"LO3.4.05","Identify, in a general way, what is and what is not an AI system.",""
"LO3.4.06","Identify common examples of applications of AI systems.",""
"LO3.4.07","Give basic instructions to a computer to perform simple tasks.",""
"LO3.4.08","Represent simple sequences symbolically, and interpret simple symbolic sequences.",""
"LO3.4.09","Acknowledge the relevance of computational thinking, algorithmic representation and programming in everyday contexts.",""
"LO3.4.10","Acknowledge the importance of ethics and accessibility in programming contexts.",""
"LO3.4.11","Distinguish between a computational model of reality and reality itself.",""
"LO3.4.12","Recognise, with examples from computational thinking or programming, the concept of algorithm.",""
"LO3.4.13","Define differences between a computable problem and a non-computable problem.",""
"LO3.4.14","Define general steps in computational thinking.",""
"LO3.4.15","Recognise that there are a variety of programming languages, each with a range of potential uses.",""
"LO3.4.16","Define foundational programming concepts and general steps in programming.",""
"LO3.4.17","Recognise the role of programming in robotics.",""
"LO3.4.18","Recognise that machine learning is a branch of AI that enables algorithms to learn from data and make predictions.",""
"LO3.4.19","Recognise that there are steps that should be followed to develop, validate and deploy a computer program or an AI system.",""
"LO3.4.20","Describe examples of machine learning applications.",""
"LO3.4.21","Describe examples of AI system applications from a range of sectors of society.",""
"LO3.4.22","Translate basic information into logical operations.",""
"LO3.4.23","Develop basic programs with control structures.",""
"LO3.4.24","Create visual representations such as flow diagrams to illustrate basic algorithms.",""
"LO3.4.25","Acknowledge the importance of human oversight and human-centric approaches in the development and deployment of computer programs and AI systems.",""
"LO3.4.26","Define the concepts and role of human-centric approaches and human oversight in the context of programming and AI systems.",""
"LO3.4.27","Describe the main steps in developing, validating and deploying a computer program or an AI system.",""
"LO3.4.28","Distinguish between main types of machine learning.",""
"LO3.4.29","Identify the main features and purposes of commonly-used machine learning algorithms.",""
"LO3.4.30","Describe the role of user experience (UX) and customer experience (CX) in programming.",""
"LO3.4.31","Describe examples of the application of computational thinking and programming in robotics.",""
